08:58, WALKING, 経路検索
09:36, RUNNING, ニュース閲覧
02:10, STABLE, 動画視聴
14:44, WALKING, 会議情報
03:48, WALKING, 動画視聴
00:59, RUNNING, 楽曲再生
14:05, WALKING, 会議情報
06:26, STABLE, 楽曲再生
13:59, STABLE, 経路検索
15:22, RUNNING, 経路検索
17:27, RUNNING, 経路検索
05:07, WALKING, 楽曲再生
00:20, STABLE, ニュース閲覧
00:11, WALKING, 楽曲再生
03:16, STABLE, レストラン検索
09:16, WALKING, 楽曲再生
19:04, STABLE, レストラン検索
01:33, WALKING, ニュース閲覧
10:39, RUNNING, 経路検索
03:35, WALKING, 経路検索
05:22, STABLE, 楽曲再生
03:40, STABLE, 経路検索
18:16, RUNNING, 動画視聴
22:42, RUNNING, 動画視聴
01:14, STABLE, レストラン検索
16:27, WALKING, 天気情報
08:50, RUNNING, 会議情報
15:47, WALKING, 経路検索
19:18, WALKING, 天気情報
15:45, WALKING, 動画視聴
13:07, STABLE, ニュース閲覧
08:21, RUNNING, 天気情報
15:37, RUNNING, 楽曲再生
13:50, RUNNING, レストラン検索
14:19, RUNNING, 会議情報
06:51, RUNNING, 経路検索
19:14, WALKING, 天気情報
22:04, STABLE, 動画視聴
07:40, WALKING, 会議情報
16:30, WALKING, 楽曲再生
22:05, WALKING, レストラン検索
03:22, STABLE, 動画視聴
04:25, WALKING, 会議情報
08:44, WALKING, ニュース閲覧
10:16, WALKING, 経路検索
07:24, WALKING, 動画視聴
10:11, WALKING, レストラン検索
14:22, STABLE, 経路検索
13:59, RUNNING, 会議情報
14:05, WALKING, ニュース閲覧
09:08, WALKING, ニュース閲覧
19:58, STABLE, 動画視聴
23:57, RUNNING, 動画視聴
19:28, RUNNING, レストラン検索
00:21, STABLE, 動画視聴
00:18, STABLE, 経路検索
11:45, STABLE, 天気情報
13:58, RUNNING, ニュース閲覧
12:39, STABLE, ニュース閲覧
12:05, RUNNING, 楽曲再生
13:30, WALKING, 会議情報
16:05, WALKING, レストラン検索
12:11, STABLE, 会議情報
07:33, WALKING, 天気情報
15:29, STABLE, ニュース閲覧
13:39, STABLE, 天気情報
09:45, STABLE, ニュース閲覧
02:33, STABLE, 天気情報
18:43, RUNNING, レストラン検索
13:58, STABLE, 会議情報
04:00, STABLE, 経路検索
10:06, WALKING, 動画視聴
13:42, WALKING, 会議情報
13:50, WALKING, 楽曲再生
16:58, WALKING, 天気情報
16:25, STABLE, ニュース閲覧
09:51, STABLE, レストラン検索
14:10, STABLE, 経路検索
03:57, RUNNING, レストラン検索
04:59, RUNNING, 会議情報
08:51, STABLE, 会議情報
19:47, STABLE, レストラン検索
03:32, WALKING, レストラン検索
14:23, STABLE, 会議情報
12:09, STABLE, 会議情報
06:55, WALKING, 動画視聴
00:59, WALKING, レストラン検索
00:51, RUNNING, 天気情報
11:58, WALKING, 経路検索
09:52, RUNNING, 楽曲再生
17:34, WALKING, レストラン検索
14:09, STABLE, 動画視聴
09:08, WALKING, 天気情報
17:27, RUNNING, 会議情報
07:05, RUNNING, 動画視聴
21:33, STABLE, 経路検索
05:42, STABLE, ニュース閲覧
07:54, RUNNING, 天気情報
15:35, STABLE, 動画視聴
17:16, STABLE, 会議情報
21:26, WALKING, ニュース閲覧
13:23, STABLE, 動画視聴
10:20, STABLE, 会議情報
05:02, RUNNING, 天気情報
13:48, WALKING, 楽曲再生
03:15, RUNNING, 楽曲再生
07:03, RUNNING, 楽曲再生
03:27, STABLE, 動画視聴
16:02, RUNNING, 動画視聴
00:11, STABLE, 経路検索
11:55, RUNNING, 動画視聴
18:07, RUNNING, 会議情報
22:19, WALKING, ニュース閲覧
12:16, RUNNING, レストラン検索
04:23, RUNNING, 会議情報
08:28, WALKING, 楽曲再生
19:09, RUNNING, ニュース閲覧
21:48, STABLE, 経路検索
08:22, RUNNING, 楽曲再生
08:44, RUNNING, 経路検索
01:51, STABLE, 経路検索
21:30, STABLE, ニュース閲覧
00:26, WALKING, 経路検索
02:47, STABLE, 天気情報
15:58, RUNNING, 天気情報
01:59, STABLE, レストラン検索
16:37, WALKING, 会議情報
01:35, RUNNING, 動画視聴
11:20, RUNNING, 会議情報
23:21, STABLE, 天気情報
16:58, WALKING, 楽曲再生
10:44, WALKING, 会議情報
06:56, RUNNING, 経路検索
03:11, RUNNING, 会議情報
19:24, RUNNING, 経路検索
20:34, STABLE, 動画視聴
14:09, WALKING, 天気情報
13:13, RUNNING, 経路検索
18:17, RUNNING, ニュース閲覧
09:00, STABLE, 動画視聴
06:00, WALKING, 天気情報
13:33, STABLE, 会議情報
13:25, STABLE, 楽曲再生
05:30, RUNNING, ニュース閲覧
